serial,datetime,event,value,selection,user,credits,location,readout
201447109,2017-10-31 07:44:29,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 07:59:38,vend with free credit,350,2,735,2500,251,117
201447109,2017-10-31 08:00:57,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 08:25:26,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 08:28:44,vend with free credit,950,0,338,450,251,117
201447109,2017-10-31 08:29:23,vend with free credit,400,3,338,50,251,117
201447109,2017-10-31 08:57:51,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 09:03:37,vend with free credit,800,0,354,100,251,117
201447109,2017-10-31 09:10:02,recharge,100,0,260,450,251,117
201447109,2017-10-31 09:10:04,recharge,100,0,260,550,251,117
201447109,2017-10-31 09:10:18,vend with credit,500,6,260,50,251,117
201447109,2017-10-31 09:33:30,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 10:10:10,vend paid with cash,400,3,0,0,251,117
201447109,2017-10-31 10:14:58,recharge,500,0,682,800,251,117
201447109,2017-10-31 10:15:02,recharge,500,0,682,1300,251,117
201447109,2017-10-31 10:15:08,recharge,500,0,682,1800,251,117
201447109,2017-10-31 10:15:13,recharge,100,0,682,1900,251,117
201447109,2017-10-31 10:16:00,recharge,100,0,714,700,251,117
201447109,2017-10-31 10:16:12,mixed vend (amount free credit),600,0,714,100,251,117
201447109,2017-10-31 10:16:12,mixed vend (amount credit),100,0,714,0,251,117
201447109,2017-10-31 11:04:21,vend paid with cash,400,3,0,0,251,117
201447109,2017-10-31 11:15:31,vend paid with cash,350,2,0,0,251,117
201447109,2017-10-31 11:21:39,vend paid with cash,350,2,0,0,251,117
201447109,2017-10-31 12:05:58,recharge,100,0,242,600,251,117
201447109,2017-10-31 12:06:03,recharge,100,0,242,700,251,117
201447109,2017-10-31 12:06:14,mixed vend (amount free credit),500,0,242,200,251,117
201447109,2017-10-31 12:06:14,mixed vend (amount credit),200,0,242,0,251,117
201447109,2017-10-31 12:07:08,recharge,50,0,263,300,251,117
201447109,2017-10-31 12:07:16,recharge,100,0,263,400,251,117
201447109,2017-10-31 12:07:25,recharge,100,0,263,500,251,117
201447109,2017-10-31 12:07:33,recharge,100,0,263,600,251,117
201447109,2017-10-31 12:07:37,recharge,100,0,263,700,251,117
201447109,2017-10-31 12:07:54,mixed vend (amount free credit),250,0,263,450,251,117
201447109,2017-10-31 12:07:54,mixed vend (amount credit),450,0,263,0,251,117
201447109,2017-10-31 12:07:54,refunds after failed vend,700,0,263,700,251,117
201447109,2017-10-31 12:08:04,mixed vend (amount free credit),250,0,263,450,251,117
201447109,2017-10-31 12:08:04,mixed vend (amount credit),450,0,263,0,251,117
201447109,2017-10-31 12:09:04,vend with free credit,400,3,333,200,251,117
201447109,2017-10-31 13:41:04,recharge,100,0,535,700,251,117
201447109,2017-10-31 13:41:15,mixed vend (amount free credit),600,0,535,100,251,117
201447109,2017-10-31 13:41:15,mixed vend (amount credit),100,0,535,0,251,117
201447109,2017-10-31 13:54:39,recharge,100,0,709,750,251,117
201447109,2017-10-31 13:55:39,mixed vend (amount free credit),450,0,709,300,251,117
201447109,2017-10-31 13:55:39,mixed vend (amount credit),250,0,709,50,251,117
201447109,2017-10-31 14:11:47,recharge,100,0,534,470,251,117
201447109,2017-10-31 14:11:50,recharge,100,0,534,570,251,117
201447109,2017-10-31 14:13:08,mixed vend (amount free credit),350,6,534,220,251,117
201447109,2017-10-31 14:13:08,mixed vend (amount credit),150,6,534,70,251,117
201447109,2017-10-31 15:49:54,vend paid with cash,950,0,0,0,251,117
201447109,2017-10-31 15:52:12,vend paid with cash,700,0,0,0,251,117
201447109,2017-10-31 16:36:37,vend with free credit,800,0,533,0,251,117
201447109,2017-11-02 02:34:02,free credit added,5000,0,329,5000,251,117
201447109,2017-11-02 02:34:12,vend with free credit,800,0,329,4200,251,117
201447109,2017-11-02 02:54:24,free credit added,5000,0,229,5500,251,117
201447109,2017-11-02 02:54:33,vend with free credit,400,3,229,5100,251,117
201447109,2017-11-02 03:27:22,free credit added,5000,0,35,5000,251,117
201447109,2017-11-02 03:27:45,vend with free credit,350,2,35,4650,251,117
201447109,2017-11-02 03:33:02,free credit added,5000,0,623,5100,251,117
201447109,2017-11-02 03:33:21,vend with free credit,350,2,623,4750,251,117
201447109,2017-11-02 03:39:34,vend paid with cash,800,0,0,0,251,117
201447109,2017-11-02 03:52:25,free credit added,5000,0,339,5000,251,117
201447109,2017-11-02 03:52:43,vend with free credit,350,2,339,4650,251,117
201447109,2017-11-02 03:58:01,free credit added,5000,0,657,5000,251,117
201447109,2017-11-02 03:58:19,vend with free credit,350,2,657,4650,251,117
201447109,2017-11-02 04:09:04,free credit added,5000,0,410,5400,251,117
201447109,2017-11-02 04:09:22,vend with free credit,350,2,410,5050,251,117
201447109,2017-11-02 04:14:06,free credit added,5000,0,603,5000,251,117
201447109,2017-11-02 04:14:21,vend with free credit,350,2,603,4650,251,117
201447109,2017-11-02 04:16:48,vend paid with cash,350,2,0,0,251,117
201447109,2017-11-02 04:17:51,vend with free credit,350,2,35,4300,251,117
201447109,2017-11-02 04:34:29,free credit added,5000,0,310,5250,251,117
201447109,2017-11-02 04:34:29,free credit substituted,200,0,310,5050,251,117
201447109,2017-11-02 04:34:46,vend with free credit,350,2,310,4700,251,117
201447109,2017-11-02 04:48:41,free credit added,5000,0,503,5450,251,117
201447109,2017-11-02 04:49:00,vend with free credit,350,2,503,5100,251,117
201447109,2017-11-02 04:50:26,vend with free credit,400,3,503,4700,251,117
201447109,2017-11-02 04:51:20,free credit added,5000,0,287,5200,251,117
201447109,2017-11-02 04:51:20,free credit substituted,200,0,287,5000,251,117
201447109,2017-11-02 04:51:35,vend with free credit,350,2,287,4650,251,117
201447109,2017-11-02 05:01:17,vend with free credit,800,0,437,3550,251,117
201447109,2017-11-02 05:01:32,vend with free credit,400,3,437,3150,251,117
201447109,2017-11-02 05:01:51,vend with free credit,600,7,437,2550,251,117
201447109,2017-11-02 05:29:20,free credit added,5000,0,527,5000,251,117
201447109,2017-11-02 05:29:31,vend with free credit,400,3,527,4600,251,117
201447109,2017-11-02 05:48:40,free credit added,5000,0,259,5000,251,117
201447109,2017-11-02 05:56:19,vend with free credit,500,6,259,4500,251,117
201447109,2017-11-02 05:56:56,vend with free credit,700,0,259,3800,251,117
201447109,2017-11-02 05:57:51,vend with free credit,700,0,259,3100,251,117
201447109,2017-11-02 06:30:19,vend paid with cash,350,2,0,0,251,117
201447109,2017-11-02 06:31:47,vend paid with cash,350,2,0,0,251,117
201447109,2017-11-02 06:38:43,vend with free credit,700,0,287,3950,251,117
201447109,2017-11-02 06:39:27,vend with free credit,950,0,287,3000,251,117
201447109,2017-11-02 07:17:40,free credit added,5000,0,266,5000,251,117
201447109,2017-11-02 07:17:57,vend with free credit,350,2,266,4650,251,117
201447109,2017-11-02 07:37:11,free credit added,5000,0,295,5000,251,117
201447109,2017-11-02 07:37:21,vend with free credit,800,0,295,4200,251,117
201447109,2017-11-02 07:44:25,free credit added,5000,0,397,5200,251,117
201447109,2017-11-02 07:44:39,vend with free credit,350,2,397,4850,251,117
201447109,2017-11-02 07:48:06,free credit added,5000,0,532,5600,251,117
201447109,2017-11-02 07:48:06,free credit substituted,600,0,532,5000,251,117
201447109,2017-11-02 07:48:18,vend with free credit,600,7,532,4400,251,117
201447109,2017-11-02 07:56:50,vend paid with cash,350,2,0,0,251,117
201447109,2017-11-02 08:25:15,free credit added,5000,0,323,5100,251,117
201447109,2017-11-02 08:25:15,free credit substituted,100,0,323,5000,251,117
201447109,2017-11-02 08:25:38,vend with free credit,700,0,323,4300,251,117
201447109,2017-11-02 09:05:26,free credit added,5000,0,616,5000,251,117
201447109,2017-11-02 09:06:13,vend with free credit,700,0,616,4300,251,117
201447109,2017-11-02 09:08:49,free credit added,5000,0,676,5050,251,117
201447109,2017-11-02 09:08:49,free credit substituted,50,0,676,5000,251,117
201447109,2017-11-02 09:08:57,vend with free credit,700,0,676,4300,251,117
201447109,2017-11-02 09:22:04,free credit added,5000,0,288,5000,251,117
201447109,2017-11-02 09:29:25,free credit added,5000,0,331,5000,251,117
201447109,2017-11-02 09:29:33,vend with free credit,700,0,331,4300,251,117
201447109,2017-11-02 09:35:34,vend with free credit,850,0,295,3350,251,117
201447109,2017-11-02 09:43:33,vend with free credit,800,0,657,3850,251,117
201447109,2017-11-02 09:59:30,vend with free credit,500,6,503,4200,251,117
201447109,2017-11-02 10:04:12,free credit added,5000,0,268,5100,251,117
201447109,2017-11-02 10:04:27,vend with free credit,600,7,268,4500,251,117
201447109,2017-11-02 10:05:16,free credit added,5000,0,533,5000,251,117
201447109,2017-11-02 10:05:26,vend with free credit,700,0,533,4300,251,117
201447109,2017-11-02 10:18:34,vend with free credit,850,0,527,3750,251,117
201447109,2017-11-02 10:19:10,vend with free credit,400,3,527,3350,251,117
201447109,2017-11-02 10:19:40,free credit added,5000,0,245,7950,251,117
201447109,2017-11-02 10:19:40,free credit substituted,2950,0,245,5000,251,117
201447109,2017-11-02 10:19:49,vend with free credit,500,6,245,4500,251,117
201447109,2017-11-02 10:29:28,free credit added,5000,0,307,5100,251,117
201447109,2017-11-02 10:29:36,vend with free credit,500,6,307,4600,251,117
201447109,2017-11-02 10:29:52,vend with free credit,850,0,307,3750,251,117
201447109,2017-11-02 10:30:41,free credit added,5000,0,537,5250,251,117
201447109,2017-11-02 10:30:41,free credit substituted,200,0,537,5050,251,117
201447109,2017-11-02 10:30:52,vend with free credit,500,6,537,4550,251,117
201447109,2017-11-02 10:57:14,free credit added,5000,0,246,5000,251,117
201447109,2017-11-02 10:57:24,vend with free credit,600,7,246,4400,251,117
201447109,2017-11-02 11:07:16,vend with free credit,350,2,266,4300,251,117
201447109,2017-11-02 11:19:59,vend with free credit,400,3,676,3900,251,117
201447109,2017-11-02 11:23:35,free credit added,5000,0,332,5000,251,117
201447109,2017-11-02 11:23:43,vend with free credit,500,6,332,4500,251,117
201447109,2017-11-02 11:25:49,free credit added,5000,0,526,5000,251,117
201447109,2017-11-02 11:26:07,vend with free credit,350,2,526,4650,251,117
201447109,2017-11-02 11:32:30,free credit added,5000,0,531,5050,251,117
201447109,2017-11-02 11:32:30,free credit substituted,50,0,531,5000,251,117
201447109,2017-11-02 11:32:46,vend with free credit,350,2,531,4650,251,117
201447109,2017-11-02 11:37:33,free credit added,5000,0,760,5200,251,117
201447109,2017-11-02 11:37:33,free credit substituted,50,0,760,5150,251,117
201447109,2017-11-02 11:38:06,vend with free credit,350,2,760,4800,251,117
201447109,2017-11-02 11:49:02,free credit added,5000,0,285,5000,251,117
201447109,2017-11-02 11:49:24,vend with free credit,700,0,285,4300,251,117
201447109,2017-11-02 11:49:42,vend with free credit,700,0,285,3600,251,117
201447109,2017-11-02 12:05:23,free credit added,5000,0,706,5000,251,117
201447109,2017-11-02 12:05:41,vend with free credit,700,0,706,4300,251,117
201447109,2017-11-02 12:21:18,free credit added,5000,0,534,5070,251,117
201447109,2017-11-02 12:21:31,vend with free credit,500,6,534,4570,251,117
201447109,2017-11-02 12:39:05,free credit added,5000,0,714,5000,251,117
201447109,2017-11-02 12:39:42,vend with free credit,350,2,714,4650,251,117
201447109,2017-11-02 12:40:58,vend with free credit,350,2,714,4300,251,117
201447109,2017-11-02 12:48:14,vend with free credit,800,0,616,3500,251,117
201447109,2017-11-02 13:00:53,free credit added,5000,0,260,5050,251,117
201447109,2017-11-02 13:01:10,vend with free credit,500,6,260,4550,251,117
201447109,2017-11-02 13:13:02,vend with free credit,700,0,339,3950,251,117
201447109,2017-11-02 13:14:48,vend with free credit,700,0,531,3950,251,117
201447109,2017-11-02 13:15:52,free credit added,5000,0,240,5000,251,117
